Jumlah Input	Jumlah Epoch	Jumlah Neuron	Jumlah Batch Size	Akurasi (%)
2	5	2	32	12.50%
2	5	2	16	12.50%
2	5	2	8	13.75%
2	5	2	4	12.50%
2	5	2	2	15.00%
2	10	2	32	16.25%
2	10	2	16	13.75%
2	10	2	8	13.75%
2	10	2	4	12.50%
2	10	2	2	13.75%
2	15	2	32	11.25%
2	15	2	16	10.00%
2	15	2	8	12.50%
2	15	2	4	16.25%
2	15	2	2	11.25%
2	20	2	32	21.25%
2	20	2	16	13.75%
2	20	2	8	8.75%
2	20	2	4	10.00%
2	20	2	2	15.00%
2	25	2	32	12.50%
2	25	2	16	10.00%
2	25	2	8	12.50%
2	25	2	4	16.25%
2	25	2	2	15.00%
2	30	2	32	12.50%
2	30	2	16	8.75%
2	30	2	8	15.00%
2	30	2	4	16.25%
2	30	2	2	18.75%
2	35	2	32	6.25%
2	35	2	16	16.25%
2	35	2	8	12.50%
2	35	2	4	15.00%
2	35	2	2	12.50%
2	40	2	32	15.00%
2	40	2	16	16.25%
2	40	2	8	16.25%
2	40	2	4	12.50%
2	40	2	2	18.75%
2	45	2	32	13.75%
2	45	2	16	12.50%
2	45	2	8	11.25%
2	45	2	4	17.50%
2	45	2	2	12.50%
2	50	2	32	12.50%
2	50	2	16	12.50%
2	50	2	8	12.50%
2	50	2	4	12.50%
2	50	2	2	17.50%
2	5	4	32	11.25%
2	5	4	16	12.50%
2	5	4	8	10.00%
2	5	4	4	12.50%
2	5	4	2	12.50%
2	10	4	32	13.75%
2	10	4	16	18.75%
2	10	4	8	17.50%
2	10	4	4	15.00%
2	10	4	2	12.50%
2	15	4	32	13.75%
2	15	4	16	13.75%
2	15	4	8	11.25%
2	15	4	4	13.75%
2	15	4	2	17.50%
2	20	4	32	12.50%
2	20	4	16	13.75%
2	20	4	8	17.50%
2	20	4	4	10.00%
2	20	4	2	16.25%
2	25	4	32	13.75%
2	25	4	16	11.25%
2	25	4	8	15.00%
2	25	4	4	20.00%
2	25	4	2	12.50%
2	30	4	32	16.25%
2	30	4	16	15.00%
2	30	4	8	17.50%
2	30	4	4	17.50%
2	30	4	2	21.25%
2	35	4	32	10.00%
2	35	4	16	15.00%
2	35	4	8	17.50%
2	35	4	4	20.00%
2	35	4	2	20.00%
2	40	4	32	12.50%
2	40	4	16	7.50%
2	40	4	8	21.25%
2	40	4	4	16.25%
2	40	4	2	23.75%
2	45	4	32	16.25%
2	45	4	16	18.75%
2	45	4	8	12.50%
2	45	4	4	12.50%
2	45	4	2	26.25%
2	50	4	32	10.00%
2	50	4	16	11.25%
2	50	4	8	20.00%
2	50	4	4	21.25%
2	50	4	2	20.00%
2	5	8	32	11.25%
2	5	8	16	12.50%
2	5	8	8	10.00%
2	5	8	4	13.75%
2	5	8	2	17.50%
2	10	8	32	13.75%
2	10	8	16	6.25%
2	10	8	8	12.50%
2	10	8	4	11.25%
2	10	8	2	11.25%
2	15	8	32	10.00%
2	15	8	16	12.50%
2	15	8	8	10.00%
2	15	8	4	16.25%
2	15	8	2	12.50%
2	20	8	32	15.00%
2	20	8	16	11.25%
2	20	8	8	16.25%
2	20	8	4	15.00%
2	20	8	2	16.25%
2	25	8	32	7.50%
2	25	8	16	12.50%
2	25	8	8	15.00%
2	25	8	4	11.25%
2	25	8	2	15.00%
2	30	8	32	12.50%
2	30	8	16	12.50%
2	30	8	8	15.00%
2	30	8	4	20.00%
2	30	8	2	21.25%
2	35	8	32	15.00%
2	35	8	16	16.25%
2	35	8	8	18.75%
2	35	8	4	17.50%
2	35	8	2	16.25%
2	40	8	32	17.50%
2	40	8	16	8.75%
2	40	8	8	18.75%
2	40	8	4	20.00%
2	40	8	2	25.00%
2	45	8	32	15.00%
2	45	8	16	10.00%
2	45	8	8	15.00%
2	45	8	4	20.00%
2	45	8	2	22.50%
2	50	8	32	15.00%
2	50	8	16	16.25%
2	50	8	8	20.00%
2	50	8	4	21.25%
2	50	8	2	25.00%
2	5	10	32	11.25%
